major_name,median_earnings_1yr,median_earnings_5yr,median_growth,median_growth_pct,earnings_variation,school_count,earnings_rank,growth_rank,consistency_rank,low_earnings_flag,high_growth_flag
"General Sales, Merchandising and Related Marketing Operations.",51011.5,73314,23052,0.43966627792800395,27144.5,26,92,88,263,FALSE,FALSE
Genetics.,32565,66769.5,32066,0.932132855130456,11285.5,8,115,21,134,FALSE,TRUE
Geography and Cartography.,37690.5,56172,18185.5,0.4862171992186839,10021.25,102,170,150,104,FALSE,FALSE
Geological and Earth Sciences/Geosciences.,39846.5,58245,19253.5,0.5162985239961776,11091.75,104,164,135,125,FALSE,FALSE
Geological/Geophysical Engineering.,66598.5,84373,12336,0.18383198447693433,6287,3,54,233,38,FALSE,FALSE
"Germanic Languages, Literatures, and Linguistics.",44390,55692.5,13861,0.3357312406142518,13407.25,4,172,217,173,FALSE,FALSE
Gerontology.,37623,47812,14860,0.37588440755888586,12612,9,244,206,163,TRUE,FALSE
Graphic Communications.,26481,48825.5,21489,0.7867032016152293,18763.5,52,236,105,234,TRUE,FALSE
"Health Professions and Related Clinical Sciences, Other.",38342,65226,23106,0.5676122216275336,17352.5,59,125,85,222,FALSE,FALSE
"Health Services/Allied Health/Health Sciences, General.",35593.5,56334,19839,0.5768110108835316,19286.75,126,169,129,238,FALSE,FALSE
Health and Medical Administrative Services.,44167,55408,11984,0.278363620604975,16819,257,175,235,219,FALSE,FALSE
Health and Physical Education/Fitness.,30721,52443,21074.5,0.6874798490819236,11211,541,199,110,132,FALSE,FALSE
Health-Related Knowledge and Skills.,35907,51729,15822,0.44063831564875927,0,1,206,191,1,FALSE,FALSE
Health/Medical Preparatory Programs.,33642,65844,30892.5,0.910069029184239,16100,45,122,27,211,FALSE,TRUE
Heavy/Industrial Equipment Maintenance Technologies.,65331,80009,14678,0.2246712892807396,0,1,72,209,1,FALSE,FALSE
High School/Secondary Diploma Programs.,NA,82002,NA,NA,0,1,59,NA,1,FALSE,NA
Historic Preservation and Conservation.,35326,48223.5,16558,0.4687199230028874,3660.5,2,239,178,14,TRUE,FALSE
History.,31220,50267,19168,0.6275040794361698,10797.25,484,219,136,116,FALSE,FALSE
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.",46735,63634.5,18184,0.3168922677544966,12981.25,12,136,151,168,FALSE,FALSE
Homeland Security.,48676,61629,13588,0.2348572754699466,14156,25,146,218,187,FALSE,FALSE
Hospitality Administration/Management.,35372.5,51214,15223.5,0.43339194751578114,9118,131,211,202,83,FALSE,FALSE
Housing and Human Environments.,38637,51755,13118,0.3395191138028315,11575.5,11,205,221,144,FALSE,FALSE
Human Biology.,36620,77466,32111.5,0.897964000765137,23338.5,7,80,20,255,FALSE,TRUE
Human Computer Interaction.,43323,107386,22490.5,0.5307903729015004,51825.25,4,8,91,273,FALSE,FALSE
"Human Development, Family Studies, and Related Services.",33643,46094.5,11405,0.337383332412879,8499,150,254,248,75,TRUE,FALSE
Human Resources Management and Services.,51672.5,64654,14593.5,0.28148084136257573,12464.75,172,131,210,161,FALSE,FALSE
"Human Services, General.",36959,45035,6883,0.1782387590428334,7602,76,259,269,56,TRUE,FALSE
Industrial Engineering.,74748,93248,19901,0.2693102542179261,16601.5,71,31,125,217,FALSE,FALSE
Industrial Production Technologies/Technicians.,58538,77888,16590,0.2733103565522464,14575.5,47,77,176,193,FALSE,FALSE
Information Science/Studies.,59368,86333.5,22547,0.4089424213880594,18095,108,48,90,229,FALSE,FALSE
Insurance.,59022,85406.5,25898,0.4434554314793836,18776.5,18,52,59,235,FALSE,TRUE
"Intelligence, Command Control and Information Operations.",52211,80168,24457,0.4022190611664296,24558,3,71,75,258,FALSE,FALSE
Intercultural/Multicultural and Diversity Studies.,26144.5,45398.5,22052,0.8412319081973882,7462.75,4,257,96,52,TRUE,FALSE
Interior Architecture.,45345,58048,11983,0.26426287352519573,2149,9,166,236,7,FALSE,FALSE
International Agriculture.,52068,51601,-467,-0.00896904048551893,0,1,207,283,1,FALSE,FALSE
International Business.,49159.5,71177,24977.5,0.49756382944890426,23750,93,102,68,257,FALSE,TRUE
International Relations and National Security Studies.,38810,64958,27148,0.6776051433163676,19032.5,111,129,48,237,FALSE,TRUE
International and Comparative Education.,40723,66024,25301,0.6212950912260885,0,1,120,62,1,FALSE,TRUE
International/Global Studies.,32994,54769,23090,0.6883583830007775,15207.75,64,182,86,202,FALSE,FALSE
Journalism.,35050,53852,20537,0.5525218629245475,13598.5,171,189,114,178,FALSE,FALSE
Landscape Architecture.,54701,66377,11515,0.2173905106157694,8482,21,116,246,72,FALSE,FALSE
"Legal Professions and Studies, Other.",36131,60443,20019,0.4952256085493766,21296,13,153,123,249,FALSE,FALSE
Legal Research and Advanced Professional Studies.,40966,54604,19605,0.4785675926377972,8540,3,184,132,77,FALSE,FALSE
Legal Support Services.,36900,50061,11924,0.32188925400951496,5942,45,223,237,35,TRUE,FALSE
Leisure and Recreational Activities.,23400,41743.5,16126.5,0.6899700396557995,6095.5,4,273,183,36,TRUE,FALSE
"Liberal Arts and Sciences, General Studies and Humanities.",36597,48581,11437,0.3197101877864853,11612.5,440,237,247,146,TRUE,FALSE
Library Science and Administration.,29163,42952,6687,0.2292973973871001,7102,2,267,270,49,TRUE,FALSE
"Linguistic, Comparative, and Related Language Studies and Services.",26414,49271.5,22269,0.9214458608904651,11185.25,80,231,93,130,TRUE,FALSE
Literature.,23868,51146,27278,1.1428691134573488,11300.25,8,212,45,136,FALSE,TRUE
Management Information Systems and Services.,61145,83379,23667,0.4197446859713724,21245.75,152,56,79,248,FALSE,FALSE
Management Sciences and Quantitative Methods.,60902.5,81903,26004.5,0.4332763536018087,32653,83,61,58,269,FALSE,TRUE
Manufacturing Engineering.,70837,90093.5,18706.5,0.2650074173782204,7000.5,8,41,143,46,FALSE,FALSE
Marine Sciences.,28255.5,50658.5,22403,0.7890120349718805,4887.5,2,214,92,27,FALSE,FALSE
Marine Transportation.,84187,109470,26617,0.31616520365377077,9732,7,6,54,97,FALSE,TRUE
Marketing.,45460,64117,20155,0.4480070891203703,15498,471,134,120,204,FALSE,FALSE
Materials Engineering,74768.5,88803,17965.5,0.2585762604913546,9784.75,26,44,159,99,FALSE,FALSE
Materials Sciences.,72216,86377,14161,0.19609227871939736,8482.5,3,47,215,73,FALSE,FALSE
Mathematics and Computer Science.,56140,93002.5,36862.5,0.7297333999920741,1543.5,2,32,9,5,FALSE,TRUE
"Mathematics and Statistics, Other.",49297.5,73115,32991.5,0.516321185642917,17234.5,6,94,16,221,FALSE,TRUE
Mathematics.,48750,69210,23112,0.46659557326117607,20686.5,275,109,84,247,FALSE,FALSE
Mechanical Engineering Related Technologies/Technicians.,63343,80580.5,17511.5,0.2690161295283332,8455.75,48,68,165,71,FALSE,FALSE
Mechanical Engineering.,70791,91587.5,20385.5,0.28343463235536326,8486,298,36,116,74,FALSE,FALSE
"Mechatronics, Robotics, and Automation Engineering.",81517,97576,16059,0.19700185237435136,0,1,21,187,1,FALSE,FALSE
Medical Illustration and Informatics.,49685.5,69645,29616.5,0.9676804613130201,10206,3,106,33,108,FALSE,TRUE
Medicine.,NA,66278,NA,NA,7843,2,119,NA,60,FALSE,NA
Mental and Social Health Services and Allied Professions.,40333,48401,10462,0.27979570079091565,10981,49,238,251,123,TRUE,FALSE
