major_name,median_earnings_1yr,median_earnings_5yr,median_growth,median_growth_pct,earnings_variation,school_count,earnings_rank,growth_rank,consistency_rank,low_earnings_flag,high_growth_flag
Plant Sciences.,43944,53392.5,10796,0.2574729701081196,11733,42,191,250,148,FALSE,FALSE
Political Science and Government.,35813,61602,26858,0.7354989605262341,14689,511,147,53,198,FALSE,TRUE
Polymer/Plastics Engineering.,72776,99370.5,26594.5,0.37265777279452206,2870.5,2,14,55,9,FALSE,TRUE
"Practical Nursing, Vocational Nursing and Nursing Assistants.",10084,29029,18945,1.8787187623958743,7763.25,6,292,138,58,TRUE,FALSE
"Psychology, General.",31450,49106,17456,0.5713760004906621,11111.75,1040,233,166,126,TRUE,FALSE
"Psychology, Other.",34117.5,59829,21794,0.5724674680311582,19535.25,12,156,99,240,FALSE,FALSE
"Public Administration and Social Service Professions, Other.",44593,62963.5,20228,0.47615460665693704,11785.25,12,139,118,151,FALSE,FALSE
Public Administration.,44951,58908,14801,0.3205712887366243,14646,49,159,207,195,FALSE,FALSE
Public Health.,37548,56345,17079,0.45019561412539894,16689,149,168,170,218,FALSE,FALSE
Public Policy Analysis.,43733,67466.5,24860.5,0.6081440847201853,14158,22,112,70,188,FALSE,TRUE
"Public Relations, Advertising, and Applied Communication.",40178,58605.5,18818,0.4849047731013402,14887.25,154,162,141,201,FALSE,FALSE
Quality Control and Safety Technologies/Technicians.,65062,83012.5,18509.5,0.2835697724591991,10607,16,57,145,113,FALSE,FALSE
"Radio, Television, and Digital Communication.",29099,47815,20212.5,0.6435758691264925,11114,137,243,119,127,TRUE,FALSE
Real Estate.,55456,85784,31092,0.5845680986746722,28121.5,15,50,25,264,FALSE,TRUE
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",74916,82000,8006,0.10425243153568439,17435.25,912,60,261,224,FALSE,FALSE
Rehabilitation and Therapeutic Professions.,35605,51552,15710,0.4081825148853387,24631.25,60,208,194,259,FALSE,FALSE
Religion/Religious Studies.,26568,43820.5,15179,0.6222930275451621,11707.25,36,262,203,147,TRUE,FALSE
Religious Education.,31903,42169,11095,0.35921261372098295,5656,13,271,249,33,TRUE,FALSE
Religious/Sacred Music.,33284,37322,4038,0.12131955293834876,993.5,3,284,278,3,TRUE,FALSE
Research and Experimental Psychology.,32301,51495,19865,0.5919499359977244,15918,49,209,127,208,FALSE,FALSE
Rhetoric and Composition/Writing Studies.,31343,47989,18088,0.5514463363580655,16516,115,241,156,216,TRUE,FALSE
"Romance Languages, Literatures, and Linguistics.",33562,54222,21625,0.6402903038234089,11151.5,227,187,101,128,FALSE,FALSE
"Science Technologies/Technicians, Other.",53850,66364.5,12520,0.23201059295733853,13633,6,117,232,179,FALSE,FALSE
"Science, Technology and Society.",48067.5,80699,28187.5,0.7058609804817998,18674,9,66,40,232,FALSE,TRUE
Security Science and Technology.,38710,55315,18031,0.4835571078653724,13293.25,34,176,158,172,FALSE,FALSE
"Social Sciences, General.",38147,51843,11676,0.32898597031399773,12316,80,203,241,158,FALSE,FALSE
"Social Sciences, Other.",36413.5,53550.5,23345.5,0.6186055172244045,17424.25,38,190,82,223,FALSE,FALSE
Social Work.,37380,49037,11523.5,0.3191125497763258,8527.75,416,234,245,76,TRUE,FALSE
Sociology and Anthropology.,29928,53357,22152,0.7551259456658281,11240,5,193,94,133,FALSE,FALSE
Sociology.,34344,50306,16549,0.4845414847161572,11539,473,217,179,143,FALSE,FALSE
Soil Sciences.,50770,62443,9373,0.20249746149026723,3046,7,142,255,11,FALSE,FALSE
Special Education and Teaching.,44009,49900,5170,0.123376049491825,9544.75,182,224,276,94,TRUE,FALSE
"Specialized Sales, Merchandising and  Marketing Operations.",35157,47941,18332.5,0.579845028353751,14846,63,242,147,200,TRUE,FALSE
Statistics.,59668.5,93268,31721,0.5390261550759321,29558.75,32,30,23,266,FALSE,TRUE
Sustainability Studies.,38242,62696.5,25171.5,0.5955317956361944,7946,10,141,65,62,FALSE,TRUE
Systems Engineering.,84942,103877,27217,0.3550352204539525,24673,7,10,46,260,FALSE,TRUE
Systems Science and Theory.,65683,101452,35769,0.5445701323021177,37126,3,12,13,271,FALSE,TRUE
"Teacher Education and Professional Development, Specific Levels and Methods.",41743,46546,4164,0.1006276455991826,6795.25,674,252,277,43,TRUE,FALSE
"Teacher Education and Professional Development, Specific Subject Areas.",42917,50280,7107,0.16274927813908305,6932,361,218,266,44,FALSE,FALSE
Teaching English or French as a Second or Foreign Language.,34876,31764.5,7568,0.21699736208280765,9730,6,290,264,96,TRUE,FALSE
Textile Sciences and Engineering.,45078,71193,26115,0.5793291627845069,0,1,101,57,1,FALSE,TRUE
Theological and Ministerial Studies.,33488,49241.5,14444,0.46551933688227715,12722.75,24,232,213,166,TRUE,FALSE
"Theology and Religious Vocations, Other.",NA,43784,NA,NA,4873,3,263,NA,25,TRUE,NA
Urban Studies/Affairs.,39611.5,60709,23517,0.6196514884574922,13105,25,150,81,169,FALSE,FALSE
Vehicle Maintenance and Repair Technologies.,67372,78473.5,7925,0.09731568348150696,13579.25,6,74,262,177,FALSE,FALSE
Veterinary Biomedical and Clinical Sciences.,43825,70905,27080,0.6919615391873785,3757,2,103,49,15,FALSE,TRUE
Veterinary Medicine.,NA,115070,NA,NA,0,1,5,NA,1,FALSE,NA
Veterinary/Animal Health Technologies/Technicians.,36727,41123.5,2889.5,0.08233437596817234,10393.75,12,274,279,111,TRUE,FALSE
"Visual and Performing Arts, General.",24699,39441,15908,0.6553309468660069,8742.5,59,280,190,78,TRUE,FALSE
"Visual and Performing Arts, Other.",24384,51836,19878,0.899498947062668,33633.25,6,204,126,270,FALSE,FALSE
Wildlife and Wildlands Science and Management.,28652,45339.5,16085,0.5596878181201221,6784.5,28,258,184,42,TRUE,FALSE
Woodworking.,19151,46712,27561,1.43914155918751,0,1,251,43,1,TRUE,TRUE
Zoology/Animal Biology.,28537,49352,21543.5,0.7754753554768461,12695,45,228,103,165,TRUE,FALSE
